"('Chuang Gan', 1)"
"('Vincent J. Straub', 1)"
"('Deborah Morgan', 1)"
"('Jonathan Bright', 1)"
"('Helen Margetts', 1)"
"('Mislav Juric', 1)"
"('Agneza Sandic', 1)"
"('Kathrin Blagec', 1)"
"('Jakob Kraiger', 1)"
"('Wolfgang Frühwirt', 1)"
"('Matthias Samwald', 1)"
"('Kyle A. Kilian', 1)"
"('Christopher J. Ventura', 1)"
"('Mark M. Bailey', 1)"
"('Isabelle Hupont', 1)"
"('David Fernández-Llorca', 1)"
"('Sandra Baldassarri', 1)"
"('Emilia Gómez', 1)"
"('Rafał Muszyński', 1)"
"('Jun Wang', 1)"
"('Yitzhak Spielberg', 1)"
"('Amos Azaria', 1)"
"('Yupan Huang', 1)"
"('Tengchao Lv', 1)"
"('Lei Cui', 1)"
"('Furu Wei', 1)"
"('Alexander Matt Turner', 1)"
"('Thomas Y. Chen', 1)"
"('Ekaterina Nikonova', 1)"
"('Cheng Xue', 1)"
"('Vimukthini Pinto', 1)"
"('Chathura Gamage', 1)"
"('Peng Zhang', 1)"
"('Jochen Renz', 1)"
"('John Dickerson', 1)"
"('Bistra Dilkina', 1)"
"('Yu Ding', 1)"
"('Swati Gupta', 1)"
"('Pascal Van Hentenryck', 1)"
"('Ramayya Krishnan', 1)"
"('Radhika Kulkarni', 1)"
"('Catherine Gill', 1)"
"('Haley Griffin', 1)"
"('Maddy Hunter', 1)"
"('Ann Schwartz', 1)"
"('Vivian Lai', 1)"
"('Yiming Zhang', 1)"
"('Chacha Chen', 1)"
"('Chenhao Tan', 1)"
"('Zhi-gang Shao', 1)"
"('Wei-rong Zhong', 1)"
"('Jee Young Kim', 1)"
"('William Boag', 1)"
"('Freya Gulamali', 1)"
"('Alifia Hasan', 1)"
"('Henry David Jeffry Hogg', 1)"
"('Mark Lifson', 1)"
"('Deirdre Mulligan', 1)"
"('Manesh Patel', 1)"
"('Ajai Sehgal', 1)"
"('Keo Shaw', 1)"
"('Danny Tobey', 1)"
"('Alexandra Valladares', 1)"
"('David Vidal', 1)"
"('Suresh Balu', 1)"
"('Mark Sendak', 1)"
"('András Kornai', 1)"
"('Michael Bukatin', 1)"
"('Zsolt Zombori', 1)"
"('Zhang Ze Yu', 1)"
"('Lau Jia Jaw', 1)"
"('Wong Qin Jiang', 1)"
"('Zhang Hui', 1)"
"('Osonde A. Osoba', 1)"
"('Benjamin Boudreaux', 1)"
"('Douglas Yeung', 1)"
"('David Higgins', 1)"
"('Christian Johner', 1)"
"('Nieves Montes', 1)"
"('Tathagata Chakraborti', 1)"
"('Richard Olaniyan', 1)"
"('Muthucumaru Maheswaran', 1)"
"('Vinodkumar Prabhakaran', 1)"
"('Margaret Mitchell', 1)"
"('Timnit Gebru', 1)"
"('Marie-Therese Png', 1)"
"('William Isaac', 1)"
"('Jiacheng Wang', 1)"
"('Hongyang Du', 1)"
"('Dusit Niyato', 1)"
"('Zehui Xiong', 1)"
"('Jiawen Kang', 1)"
"('Shiwen Mao', 1)"
"('Souradip Chakraborty', 1)"
"('Amrit Singh Bedi', 1)"
"('Sicheng Zhu', 1)"
"('Bang An', 1)"
"('Dinesh Manocha', 1)"
"('Furong Huang', 1)"
"('Yotam Wolf', 1)"
"('Noam Wies', 1)"
"('Oshri Avnery', 1)"
"('Yoav Levine', 1)"
"('Monica Palmirani', 1)"
"('Anirudh Sundar', 1)"
"('Larry Heck', 1)"
"('Aaron Horowitz', 1)"
"('Andrew D. Selbst', 1)"
"('Abdolvahab Khademi', 1)"
"('Hengyuan Hu', 1)"
"('Dorsa Sadigh', 1)"
"('Sofie Goethals', 1)"
"('David Martens', 1)"
"('Theodoros Evgeniou', 1)"
"('Yongqing Zheng', 1)"
"('Lizhen Cui', 1)"
"('Simon Fauvel', 1)"
"('Lindsay Sanneman', 1)"
"('Julie Shah', 1)"
"('Ruixin Yang', 1)"
"('Chenyan Jia', 1)"
"('Ge Zhang', 1)"
"('Diyi Yang', 1)"
"('Spencer Frazier', 1)"
"('Md Sultan Al Nahian', 1)"
"('Hao Guo', 1)"
"('Jiuyang Tang', 1)"
"('Weixin Zeng', 1)"
"('Xiang Zhao', 1)"
"('Li Liu', 1)"
"('Pablo Noriega', 1)"
"('Jordi Sabater-Mir', 1)"
"('Antoni Perelló', 1)"
"('Jiawei Zheng', 1)"
"('Petros Papapanagiotou', 1)"
"('Jacques D. Fleuriot', 1)"
"('Yejin Bang', 1)"
"('Tiezheng Yu', 1)"
"('Andrea Madotto', 1)"
"('Zhaojiang Lin', 1)"
"('Mona Diab', 1)"
"('Pascale Fung', 1)"
"('Jean-Charles Layoun', 1)"
"('Suchindra', 1)"
"('Preetam Nagaraj', 1)"
"('Esma Aïmeur', 1)"
"('Muneera Bano', 1)"
"('Matt Deitke', 1)"
"('Winson Han', 1)"
"('Alvaro Herrasti', 1)"
"('Eric Kolve', 1)"
"('Roozbeh Mottaghi', 1)"
"('Dustin Schwenk', 1)"
"('Eli VanderBilt', 1)"
"('Matthew Wallingford', 1)"
"('Ali Farhadi', 1)"
"('Nythamar De Oliveira', 1)"
"('Cheng-Zhi Anna Huang', 1)"
"('Hendrik Vincent Koops', 1)"
"('Ed Newton-Rex', 1)"
"('Monica Dinculescu', 1)"
"('Carrie J. Cai', 1)"
"('Emma Schleiger', 1)"
"('Justine Lacey', 1)"
"('Glenn Newnham', 1)"
"('Cathy Robinson', 1)"
"('David Hansen', 1)"
"('Quanyi Li', 1)"
"('Zhenghao Peng', 1)"
"('Haibin Wu', 1)"
"('Lan Feng', 1)"
"('Weina Jin', 1)"
"('Xiaoxiao Li', 1)"
"('Ghassan Hamarneh', 1)"
"('Trisha Guttal', 1)"
"('Ameet Deshpande', 1)"
"('Tanmay Rajpurohit', 1)"
"('Karthik Narasimhan', 1)"
"('Ashwin Kalyan', 1)"
"('Zachary Kenton', 1)"
"('Laura Weidinger', 1)"
"('Vladimir Mikulik', 1)"
"('Zhenhua Liu', 1)"
"('Feipeng Ma', 1)"
"('Tianyi Wang', 1)"
"('Fengyun Rao', 1)"
"('Cody Wild', 1)"
"('Steven H. Wang', 1)"
"('Neel Alex', 1)"
"('Brandon Houghton', 1)"
"('William Guss', 1)"
"('Sharada Mohanty', 1)"
"('Anssi Kanervisto', 1)"
"('Stephanie Milani', 1)"
"('Nicholay Topin', 1)"
"('Pieter Abbeel', 1)"
"('Ilia Sucholutsky', 1)"
"('Thomas L. Griffiths', 1)"
"('Sky CH-Wang', 1)"
"('Arkadiy Saakyan', 1)"
"('Oliver Li', 1)"
"('Smaranda Muresan', 1)"
"('Collin Burns', 1)"
"('Steven Basart', 1)"
"('Andrew Critch', 1)"
"('Jerry Li', 1)"
"('Dawn Song', 1)"
"('Jacob Steinhardt', 1)"
"('Nicolas Berberich', 1)"
"('Klaus Diepold', 1)"
"('McKane Andrus', 1)"
"('Gillian K. Hadfield', 1)"
"('Hermann Kaindl', 1)"
"('Jonas Ferdigg', 1)"
"('Daniel Ish', 1)"
"('Andrew Lohn', 1)"
"('Christian Curriden', 1)"
"('Julia Brosch-Lenz', 1)"
"('Fereshteh Yousefirizi', 1)"
"('Katherine Zukotynski', 1)"
"('Jean-Mathieu Beauregard', 1)"
"('Vincent Gaudet', 1)"
"('Carlos Uribe', 1)"
"('Séverin Lemaignan', 1)"
"('Nigel Newbutt', 1)"
"('Louis Rice', 1)"
"('Joe Daly', 1)"
"('Vicky Charisi', 1)"
"('Chiu-Chou Lin', 1)"
"('Wei-Chen Chiu', 1)"
"('I-Chen Wu', 1)"
"('Andrea Bontempelli', 1)"
"('Marcelo Rodas Britez', 1)"
"('Xiaoyue Li', 1)"
"('Haonan Zhao', 1)"
"('Luca Erculiani', 1)"
"('Stefano Teso', 1)"
"('Andrea Passerini', 1)"
"('Fausto Giunchiglia', 1)"
"('Vikrant Varma', 1)"
"('Jonathan Uesato', 1)"
"('Zac Kenton', 1)"
"('Peter Barnett', 1)"
"('Justin Svegliato', 1)"
"('Jeff Burke', 1)"
"('Ruofei Du', 1)"
"('Matthew K. Hong', 1)"
"('Jennifer Jacobs', 1)"
"('Philippe Laban', 1)"
"('Dingzeyu Li', 1)"
"('Nanyun Peng', 1)"
"('Karl D. D. Willis', 1)"
"('Chien-Sheng Wu', 1)"
"('Kohitij Kar', 1)"
"('Simon Kornblith', 1)"
"('Evelina Fedorenko', 1)"
"('Dario Amodei', 1)"
"('Sara Kingsley', 1)"
"('Jim Samuel', 1)"
"('Rajiv Kashyap', 1)"
"('Yana Samuel', 1)"
"('Alexander Pelaez', 1)"
"('Joseph Carlsmith', 1)"
"('Mohammad Khalil', 1)"
"('Erkan Er', 1)"
"('Brian Thomas', 1)"
"('Harley Thronson', 1)"
"('Andrew Adrian', 1)"
"('Alison Lowndes', 1)"
"('James Mason', 1)"
"('Nargess Memarsadeghi', 1)"
"('Shahin Samadi', 1)"
"('Giulio Varsi', 1)"
"('Russell Wang', 1)"
"('Gabrielle Kaili-May Liu', 1)"
"('Richard Dazeley', 1)"
"('Cameron Foale', 1)"
"('Charlotte Young', 1)"
"('Sunil Aryal', 1)"
"('Francisco Cruz', 1)"
"('De-An Huang', 1)"
"('Animesh Garg', 1)"
"('Yuyang Gao', 1)"
"('Tong Sun', 1)"
"('Liang Zhao', 1)"
"('Sungsoo Hong', 1)"
"('Hang Li', 1)"
"('Wenbiao Ding', 1)"
"('Zhongqin Wu', 1)"
"('Zitao Liu', 1)"
"('Rui Zhang', 1)"
"('Bayu Distiawan Trisedy', 1)"
"('Miao Li', 1)"
"('Yong Jiang', 1)"
"('Jianzhong Qi', 1)"
"('Jonathan Stray', 1)"
"('Ivan Vendrov', 1)"
"('Jeremy Nixon', 1)"
"('Steven Adler', 1)"
"('Dmitry Kazhdan', 1)"
"('Botty Dimanov', 1)"
"('Lucie Charlotte Magister', 1)"
"('Pietro Barbiero', 1)"
"('Mateja Jamnik', 1)"
"('Pietro Lio', 1)"
"('Kang Chen', 1)"
"('Xiangqian Wu', 1)"
"('Jiani Huang', 1)"
"('Ziyang Li', 1)"
"('David Jacobs', 1)"
